sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
aws-samples/amazon-ivs-simple-chat-web-demo,10.0,5.0,,0.0,683.0,,6.0,122.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-k8s-node-drainer,35.375,23.09090909090909,,7.454545454545454,2126.6363636363635,,32.375,1968.125,8.0,3.0,AWS,27.27272727272727,72.72727272727273
aws-samples/amazon-kendra-searchui-cloudfront,,1.0,,0.0,198.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-keyspaces-examples,,15.0,,9.0,3751.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-keyspaces-toolkit,5.333333333333333,3.0,,15.333333333333334,2527.6666666666665,,3.6666666666666665,2732.6666666666665,3.0,0.0,AWS,0.0,100.0
aws-samples/amazon-kinesis-analytics-beam-taxi-consumer,5.5,2.0,,32.5,3240.0,,6.0,3037.0,2.0,0.0,AWS,0.0,100.0
aws-samples/amazon-kinesis-analytics-taxi-consumer,3.2,3.0,,100.2,2245.0,,91.0,2941.8,5.0,0.0,AWS,0.0,100.0
aws-samples/amazon-kinesis-data-analytics-flinktableapi,,1.0,,1.0,2033.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-kinesis-data-analytics-java-examples,13.5,5.2,,6.8,2313.8,,11.0,1776.0,2.0,3.0,AWS,60.0,40.0
aws-samples/amazon-kinesis-learning,,11.0,,2.0,1098.5,,,,0.0,2.0,AWS,100.0,0.0
aws-samples/amazon-kinesis-video-streams-demos,26.772727272727273,78.88571428571429,,142.31428571428572,1743.2571428571428,,19.636363636363637,1546.909090909091,22.0,13.0,AWS,37.142857142857146,62.857142857142854
aws-samples/amazon-kinesis-video-streams-media-viewer,95.0,7.125,,2.25,1116.75,,7.0,3840.6666666666665,3.0,5.0,AWS,62.5,37.5
aws-samples/amazon-kinesis-video-streams-producer-embedded-c,,2.0,,0.0,2211.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-lex-bi-bot,5.0,3.6,,1.8,952.8,,2.25,947.5,4.0,1.0,AWS,20.0,80.0
aws-samples/amazon-lex-bot-deploy,3.0,5.5,,7.25,1604.25,,0.75,591.75,4.0,0.0,AWS,0.0,100.0
aws-samples/amazon-lex-bot-export,0.75,4.2,,4.4,1506.4,,3.0,2663.0,4.0,1.0,AWS,20.0,80.0
aws-samples/amazon-lex-bot-test,,1.0,,0.0,946.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-lex-connect-workshop,361.0,3.0,,2.3333333333333335,1483.6666666666667,,5.0,3644.0,2.0,1.0,AWS,33.33333333333333,66.66666666666666
